sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower,sampling_days,site_pretreatment,site_population_served,percent_industrial_flow,n_sample_size
A,2021-04-27,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 75.0]","[1, 0]","[10.07683587353571, 2.0032552898459994]",4.492936096648865,3.133989610268167,14.080815046496356,1.4336155046360914,Tuesday,,8400.0,0.0,43
A,2021-04-27,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 75.0]","[1, 0]","[17528.983456366073, nan]",17528.983456366088,,,,Tuesday,,8400.0,0.0,43
A,2021-05-04,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 95.0]","[0, 0]","[1.9824061454590507, 2.0184180648416805]",2.000331066560661,1.0128112265878928,2.025957761105171,1.9750285285636795,Tuesday,,8400.0,0.0,43
A,2021-05-04,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 95.0]","[0, 0]","[6618.4545026396445, 4554.749203151187]",5490.482708468388,1.3024403970382723,7151.026478749338,4215.534715410896,Tuesday,,8400.0,0.0,43
A,2021-05-11,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 75.0]","[0, 0]","[1.9677776411265526, 1.9716574245224892]",1.969716577565544,1.001393770119861,1.9724619096759493,1.9669750664913563,Tuesday,,8400.0,0.0,43
A,2021-05-11,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 75.0]","[0, 0]","[7382.337771123722, nan]",7382.337771123716,,,,Tuesday,,8400.0,0.0,43
A,2021-05-18,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 75.0]","[2, 2]","[1.8711261840720386, 1.9639130968454646]",1.9169583247294537,1.034815230014282,1.983697669732702,1.8524643522138704,Tuesday,,8400.0,0.0,43
A,2021-05-18,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 75.0]","[2, 2]","[37652.90034373723, nan]",37652.9003437372,,,,Tuesday,,8400.0,0.0,43
A,2021-05-25,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 95.0]","[1, 0]","[1.9476567255021302, 1.913189046992706]",1.93034595721398,1.0127057597971454,1.954872469271731,1.9061271633338448,Tuesday,,8400.0,0.0,43
A,2021-05-25,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 95.0]","[1, 0]","[nan, 11880.5293906912]",11880.529390691192,,,,Tuesday,,8400.0,0.0,43
A,2021-06-01,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[2.0978104103841617, 5.90579482193461]",3.519834919289156,2.0789931920494227,7.317712834339984,1.693047833321371,Tuesday,,8400.0,0.0,43
A,2021-06-01,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[12193.604347669247, nan]",12193.60434766925,,,,Tuesday,,8400.0,0.0,43
A,2021-06-08,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 75.0]","[0, 0]","[2.026599113362888, 1.9400994300957923]",1.982877652521198,1.031324493140921,2.044990289946884,1.9226515667074888,Tuesday,,8400.0,0.0,43
A,2021-06-08,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 75.0]","[0, 0]","[3606.4445158789767, nan]",3606.444515878975,,,,Tuesday,,8400.0,0.0,43
A,2021-06-15,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 75.0]","[2, 0]","[2.1469368107795863, 2.011313639220616]",2.078019078369059,1.047222650241677,2.1761486465024134,1.984314489272645,Tuesday,,8400.0,0.0,43
A,2021-06-22,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[85.0, 75.0]","[2, 2]","[2.5074842063106213, 3.069790147357007]",2.774427925029888,1.153808710893835,3.2011591076465926,2.404582231729372,Tuesday,,8400.0,0.0,43
A,2021-06-22,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[85.0, 75.0]","[2, 2]","[7337.524280990842, nan]",7337.524280990836,,,,Tuesday,,8400.0,0.0,43
A,2021-06-29,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[80.0, 70.0]","[3, 3]","[4.581483406518565, 5.73454812334093]",5.125693813618665,1.1720280900906483,6.007457130764935,4.373354066302479,Tuesday,,8400.0,0.0,43
A,2021-06-29,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[80.0, 70.0]","[3, 3]","[41286.08759109109, nan]",41286.087591091054,,,,Tuesday,,8400.0,0.0,43
A,2021-07-06,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[65.0, 65.0]","[3, 3]","[13.194796809623057, 14.932764545508167]",14.03690827724978,1.0914357075799976,15.32038291781564,12.8609575257285,Tuesday,,8400.0,0.0,43
A,2021-07-06,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[65.0, 65.0]","[3, 3]","[1518.8088283959112, nan]",1518.8088283959114,,,,Tuesday,,8400.0,0.0,43
A,2021-07-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[46.194069352587405, 15.796183377447523]",27.01277457878029,2.135678328395314,57.690597257728925,12.64833482628299,Tuesday,,8400.0,0.0,43
A,2021-07-13,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[9425.97582306561, nan]",9425.975823065604,,,,Tuesday,,8400.0,0.0,43
A,2021-07-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[95.0, 75.0]","[3, 3]","[7.288729315311597, 2.933267627393253]",4.623828905294366,1.903353278238484,8.80077990490589,2.4293067178646046,Tuesday,,8400.0,0.0,43
A,2021-07-20,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[95.0, 75.0]","[3, 3]","[15705.275114856275, nan]",15705.275114856286,,,,Tuesday,,8400.0,0.0,43
A,2021-07-27,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[6.866886703152957, 102.02448790179261]",26.468672036368005,6.740466156988065,178.4111880815549,3.926831085551413,Tuesday,,8400.0,0.0,43
A,2021-07-27,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[1792.5392424499437, nan]",1792.539242449944,,,,Tuesday,,8400.0,0.0,43
B1,2021-08-01,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[72.4058571724575, 3.7808551374678965]",16.545575150875017,8.065675803925306,133.45124515644042,2.051356334310241,,,105000.0,0.0,94
B1,2021-08-01,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 70.0]","[3, 3]","[9983.331494006314, nan]",9983.331494006325,,,,,,105000.0,0.0,94
B1,2021-08-03,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '3']","[90.0, 80.0]","[3, 3]","[112.50868770203357, 70.22797404613775]",88.88901619381008,1.3954932186133016,124.04401930766991,63.69720397648288,,,105000.0,0.0,94
B1,2021-08-03,Influent,County 6,pmmov_gc_per_mL,"['1', '3']","[90.0, 80.0]","[3, 3]","[16174.063230445829, nan]",16174.063230445843,,,,,,105000.0,0.0,94
B1,2021-08-08,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[28.144542820021282, 44.64693677221342]",35.44809760436155,1.3858059102542142,49.12418316739249,25.57941003286593,,,105000.0,0.0,94
B1,2021-08-08,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[85.0, 80.0]","[3, 3]","[27506.154162413783, nan]",27506.1541624138,,,,,,105000.0,0.0,94
B1,2021-08-09,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[52.88379945523863, 75.42055690311425]",63.15477500606512,1.285323924572507,81.1743432662893,49.13529873574097,,,105000.0,0.0,94
B1,2021-08-09,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[11751.490011710099, nan]",11751.490011710095,,,,,,105000.0,0.0,94
B1,2021-08-10,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[50.23752537807956, 73.11524841970859]",60.60634577343944,1.3038993419349436,79.02457437106933,46.48084696745197,,,105000.0,0.0,94
B1,2021-08-10,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[22012.96738705292, nan]",22012.967387052937,,,,,,105000.0,0.0,94
B1,2021-08-15,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[181.1580457701775, 88.51744102263295]",126.6319336985625,1.6593215642474144,210.1230983083736,76.3154872612027,,,105000.0,0.0,94
B1,2021-08-15,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[215211.7576766638, nan]",215211.7576766637,,,,,,105000.0,0.0,94
B1,2021-08-16,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[74.46549827821556, 102.47596991330614]",87.35516104465597,1.2532921859228678,109.48154073730105,69.70055508670676,,,105000.0,0.0,94
B1,2021-08-16,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[15491.670642991234, nan]",15491.670642991234,,,,,,105000.0,0.0,94
B1,2021-08-22,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[77.33522219054778, 123.80976845832177]",97.85119290578216,1.3948155111615126,136.4843616506423,70.15350211032424,,,105000.0,0.0,94
B1,2021-08-22,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[30024.829958307153, nan]",30024.82995830716,,,,,,105000.0,0.0,94
B1,2021-08-23,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[95.0, 80.0]","[3, 3]","[21.25141475072743, 48.25700214515057]",32.02389056959411,1.7858788093556963,57.19078756136385,17.931726610915767,,,105000.0,0.0,94
B1,2021-08-23,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[95.0, 80.0]","[3, 3]","[22400.50241618662, nan]",22400.50241618661,,,,,,105000.0,0.0,94
B1,2021-08-24,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '3']","[95.0, 80.0]","[3, 3]","[74.92161460802414, 59.46170660710881]",66.74553967384799,1.1775304238225033,78.59490362040793,56.68264558055187,,,105000.0,0.0,94
B1,2021-08-24,Influent,County 6,pmmov_gc_per_mL,"['1', '3']","[95.0, 80.0]","[3, 3]","[26398.69507871032, nan]",26398.69507871033,,,,,,105000.0,0.0,94
B1,2021-08-29,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[45.74534665231599, 139.83079628184504]",79.9787987443071,2.2035745254035346,176.23924348533131,36.29502783876157,,,105000.0,0.0,94
B1,2021-08-29,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[43758.82525711611, nan]",43758.8252571161,,,,,,105000.0,0.0,94
B1,2021-08-30,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[47.21393179381447, 50.849471589968495]",48.99799468754084,1.0538537547004403,51.63672067425714,46.49411217543045,,,105000.0,0.0,94
B1,2021-08-30,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[19251.06334192842, nan]",19251.06334192844,,,,,,105000.0,0.0,94
B1,2021-08-31,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[75.0, 100.0]","[3, 3]","[1.9883186280601466, 26.543018842848404]",7.264707758071687,6.249186164590699,45.3985112115363,1.162504615278572,,,105000.0,0.0,94
B1,2021-08-31,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[75.0, 100.0]","[3, 3]","[nan, 11019.979953295131]",11019.979953295126,,,,,,105000.0,0.0,94
B1,2021-09-06,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[21.043417725337516, 22.700687153653234]",21.856350162516343,1.0550666214029667,23.0599055221663,20.7156114307294,,,105000.0,0.0,94
B1,2021-09-06,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[100.0, 80.0]","[3, 3]","[43242.023452524576, nan]",43242.02345252454,,,,,,105000.0,0.0,94
B1,2021-09-07,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[5.483870104189158, 26.746939687424433]",12.111017419292953,3.066349483017916,37.13661200246992,3.949653321112384,,,105000.0,0.0,94
B1,2021-09-07,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 80.0]","[3, 3]","[9376.292444190889, nan]",9376.292444190887,,,,,,105000.0,0.0,94
B1,2021-09-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 75.0]","[3, 3]","[25.525377272231047, 58.54695858030999]",38.65789965717354,1.798600632270481,69.53012276564114,21.493320397854728,,,105000.0,0.0,94
B1,2021-09-13,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 75.0]","[3, 3]","[32649.23694290223, nan]",32649.236942902226,,,,,,105000.0,0.0,94
B1,2021-09-14,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[95.0, 80.0]","[3, 3]","[26.12435206482777, 48.161172497715725]",35.47082500006486,1.5411467462035071,54.66574653400398,23.015864704282333,,,105000.0,0.0,94
B1,2021-09-14,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[95.0, 80.0]","[3, 3]","[25634.308418598404, nan]",25634.30841859841,,,,,,105000.0,0.0,94
B1,2021-09-19,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[100.0, 80.0]","[3, 3]","[19.92801017596341, 32.24207449232933]",25.3479858879815,1.40525893296523,35.620483601762594,18.03794681062432,,,105000.0,0.0,94
B1,2021-09-19,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[100.0, 80.0]","[3, 3]","[29078.37565144708, nan]",29078.37565144708,,,,,,105000.0,0.0,94
B1,2021-09-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[87.5, 62.5]","[3, 3]","[85.91647741561628, 76.4563760902952]",81.04851947840694,1.085985374432919,88.0175067729915,74.6313176830111,,,105000.0,0.0,94
B1,2021-09-20,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[87.5, 62.5]","[3, 3]","[22529.624411025106, nan]",22529.62441102511,,,,,,105000.0,0.0,94
B1,2021-09-21,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[80.0, 60.0]","[3, 3]","[16.35233929572636, 7.843514884868512]",11.325185061112688,1.6811867945017342,19.039751570030965,6.736422804504134,,,105000.0,0.0,94
