sample_code,date_sampling,sample_level,county,measurement,replicate,quality_score,detected_of_3_TechReps,value,gmean_value,gstd_value,gmean_value_upper,gmean_value_lower
A,2021-06-15,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[75.0, 75.0]","[2, 0]","[2.1469368107795863, 2.011313639220616]",2.078019078369059,1.047222650241677,2.1761486465024134,1.984314489272645
A,2021-06-15,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[75.0, 75.0]","[2, 0]","[nan, nan]",,,,
A,2021-06-22,Influent,County 6,N1_per_PMMoV,"['2', '3']","[85.0, 75.0]","[2, 2]","[0.0003417343657460465, nan]",0.000341734365746,,,
A,2021-06-22,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[85.0, 75.0]","[2, 2]","[2.5074842063106213, 3.069790147357007]",2.774427925029888,1.153808710893835,3.2011591076465926,2.404582231729372
A,2021-06-22,Influent,County 6,pmmov_gc_per_mL,"['2', '3']","[85.0, 75.0]","[2, 2]","[7337.524280990842, nan]",7337.524280990836,,,
A,2021-06-29,Influent,County 6,N1_per_PMMoV,"['1', '2']","[80.0, 70.0]","[3, 3]","[0.00011096918293384573, nan]",0.0001109691829338,,,
A,2021-06-29,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[80.0, 70.0]","[3, 3]","[4.581483406518565, 5.73454812334093]",5.125693813618665,1.1720280900906483,6.007457130764935,4.373354066302479
A,2021-06-29,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[80.0, 70.0]","[3, 3]","[41286.08759109109, nan]",41286.087591091054,,,
A,2021-07-06,Influent,County 6,N1_per_PMMoV,"['1', '2']","[65.0, 65.0]","[3, 3]","[0.008687595543909717, nan]",0.0086875955439097,,,
A,2021-07-06,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[65.0, 65.0]","[3, 3]","[13.194796809623057, 14.932764545508167]",14.03690827724978,1.0914357075799976,15.32038291781564,12.8609575257285
A,2021-07-06,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[65.0, 65.0]","[3, 3]","[1518.8088283959112, nan]",1518.8088283959114,,,
A,2021-07-13,Influent,County 6,N1_per_PMMoV,"['1', '2']","[90.0, 75.0]","[3, 3]","[0.004900720118499488, nan]",0.0049007201184994,,,
A,2021-07-13,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[46.194069352587405, 15.796183377447523]",27.01277457878029,2.135678328395314,57.690597257728925,12.64833482628299
A,2021-07-13,Influent,County 6,pmmov_gc_per_mL,"['1', '2']","[90.0, 75.0]","[3, 3]","[9425.97582306561, nan]",9425.975823065604,,,
A,2021-07-20,Influent,County 6,N1_per_PMMoV,"['2', '3']","[95.0, 75.0]","[3, 3]","[0.0004640943416786685, nan]",0.0004640943416786,,,
A,2021-07-20,Influent,County 6,SARS_CoV_2_N1_gc_per_mL,"['2', '3']","[95.0, 75.0]","[3, 3]","[7.288729315311597, 2.933267627393253]",4.623828905294366,1.9033532782384837,8.80077990490589,2.4293067178646046
