sample_code,date_sampling,Flow
F,2021-04-17 00:00:00,2.000899994
F,2021-04-18 00:00:00,2.015542049
F,2021-04-19 00:00:00,2.004763831
F,2021-04-20 00:00:00,1.976335779
F,2021-04-21 00:00:00,1.987511125
F,2021-04-22 00:00:00,2.001526545
F,2021-04-23 00:00:00,1.934028451
F,2021-04-24 00:00:00,1.965178644
F,2021-04-25 00:00:00,2.024988148
F,2021-04-26 00:00:00,2.001577881
F,2021-04-27 00:00:00,1.962402893
F,2021-04-28 00:00:00,1.953183915
F,2021-04-29 00:00:00,1.966932569
F,2021-04-30 00:00:00,1.916098519
F,2021-05-01 00:00:00,1.927614661
F,2021-05-02 00:00:00,1.962072025
F,2021-05-03 00:00:00,1.950051508
F,2021-05-04 00:00:00,1.912045206
F,2021-05-05 00:00:00,1.898977087
F,2021-05-06 00:00:00,1.919250891
F,2021-05-07 00:00:00,1.899474269
F,2021-05-08 00:00:00,1.869275624
F,2021-05-09 00:00:00,1.906092587
F,2021-05-10 00:00:00,1.917159019
F,2021-05-11 00:00:00,1.916167972
F,2021-05-12 00:00:00,1.934580148
F,2021-05-13 00:00:00,1.888917468
F,2021-05-14 00:00:00,1.889537866
F,2021-05-15 00:00:00,1.878899765
F,2021-05-16 00:00:00,1.925331782
F,2021-05-17 00:00:00,1.947088522
F,2021-05-18 00:00:00,1.91466525
F,2021-05-19 00:00:00,1.887006524
F,2021-05-20 00:00:00,1.892292112
F,2021-05-21 00:00:00,1.862964023
F,2021-05-22 00:00:00,1.862177375
F,2021-05-23 00:00:00,1.892600117
F,2021-05-24 00:00:00,1.897291656
F,2021-05-25 00:00:00,1.873122479
F,2021-05-26 00:00:00,1.888458523
F,2021-05-27 00:00:00,1.868979696
F,2021-05-28 00:00:00,1.845158434
F,2021-05-29 00:00:00,1.818940627
F,2021-05-30 00:00:00,1.79699361
F,2021-05-31 00:00:00,1.892561571
F,2021-06-01 00:00:00,1.867275843
F,2021-06-02 00:00:00,1.860187375
F,2021-06-03 00:00:00,1.840409579
F,2021-06-04 00:00:00,1.810405844
F,2021-06-05 00:00:00,1.789673103
F,2021-06-06 00:00:00,1.838744114
F,2021-06-07 00:00:00,1.83242862
F,2021-06-08 00:00:00,1.810863021
F,2021-06-09 00:00:00,1.830447216
F,2021-06-10 00:00:00,1.802994148
F,2021-06-11 00:00:00,1.794110693
F,2021-06-12 00:00:00,1.769249097
F,2021-06-13 00:00:00,1.794510067
F,2021-06-14 00:00:00,1.811868832
F,2021-06-15 00:00:00,1.777963087
F,2021-06-16 00:00:00,1.77121565
F,2021-06-17 00:00:00,1.753260986
F,2021-06-18 00:00:00,1.766369812
F,2021-06-19 00:00:00,1.757368464
F,2021-06-20 00:00:00,1.76343861
F,2021-06-21 00:00:00,1.807172279
F,2021-06-22 00:00:00,1.777537345
F,2021-06-23 00:00:00,1.790801948
F,2021-06-24 00:00:00,1.820475179
F,2021-06-25 00:00:00,1.739745566
F,2021-06-26 00:00:00,1.746118685
F,2021-06-27 00:00:00,1.772244049
F,2021-06-28 00:00:00,1.797310753
F,2021-06-29 00:00:00,1.774647487
F,2021-06-30 00:00:00,1.773093123
F,2021-07-01 00:00:00,1.795837745
F,2021-07-02 00:00:00,1.720939472
F,2021-07-03 00:00:00,1.692844579
F,2021-07-04 00:00:00,1.648174407
F,2021-07-05 00:00:00,1.732703457
F,2021-07-06 00:00:00,1.771028145
F,2021-07-07 00:00:00,1.743159438
F,2021-07-08 00:00:00,1.7487438
F,2021-07-09 00:00:00,1.728710905
F,2021-07-10 00:00:00,1.691599499
F,2021-07-11 00:00:00,1.726123294
F,2021-07-12 00:00:00,1.753799221
F,2021-07-13 00:00:00,1.745705667
F,2021-07-14 00:00:00,1.7446954
F,2021-07-15 00:00:00,1.754609657
F,2021-07-16 00:00:00,1.712382162
F,2021-07-17 00:00:00,1.70229522
F,2021-07-18 00:00:00,1.709663511
F,2021-07-19 00:00:00,1.744283568
F,2021-07-20 00:00:00,1.742300831
F,2021-07-21 00:00:00,1.762892574
F,2021-07-22 00:00:00,1.737963474
F,2021-07-23 00:00:00,1.728094457
F,2021-07-24 00:00:00,1.695792819
F,2021-07-25 00:00:00,1.70026017
F,2021-07-26 00:00:00,1.755419978
F,2021-07-27 00:00:00,1.704958579
F,2021-07-28 00:00:00,1.717370423
F,2021-07-29 00:00:00,1.726516405
F,2021-07-30 00:00:00,1.716225803
F,2021-07-31 00:00:00,1.687499352
F,2021-08-01 00:00:00,1.667852465
F,2021-08-02 00:00:00,1.729182975
F,2021-08-03 00:00:00,1.697491398
F,2021-08-04 00:00:00,1.725385569
F,2021-08-05 00:00:00,1.676936246
F,2021-08-06 00:00:00,1.685553484
F,2021-08-07 00:00:00,1.681767449
F,2021-08-08 00:00:00,1.705409554
F,2021-08-09 00:00:00,1.738964928
F,2021-08-10 00:00:00,1.714756798
F,2021-08-11 00:00:00,1.702861342
F,2021-08-12 00:00:00,1.689729636
F,2021-08-13 00:00:00,1.68182834
F,2021-08-14 00:00:00,1.685939785
F,2021-08-15 00:00:00,1.702406679
F,2021-08-16 00:00:00,1.748391559
F,2021-08-17 00:00:00,1.720830832
F,2021-08-18 00:00:00,1.751333025
F,2021-08-19 00:00:00,1.745068784
F,2021-08-20 00:00:00,1.721569675
F,2021-08-21 00:00:00,1.714250661
F,2021-08-22 00:00:00,1.772315582
F,2021-08-23 00:00:00,1.76057207
F,2021-08-24 00:00:00,1.734133134
F,2021-08-25 00:00:00,1.742640831
F,2021-08-26 00:00:00,1.731891387
F,2021-08-27 00:00:00,1.698587154
F,2021-08-28 00:00:00,1.704894985
F,2021-08-29 00:00:00,1.763044485
F,2021-08-30 00:00:00,1.767849091
F,2021-08-31 00:00:00,1.753150405
F,2021-09-01 00:00:00,1.721074919
F,2021-09-02 00:00:00,1.718273516
F,2021-09-03 00:00:00,1.724374156
F,2021-09-04 00:00:00,1.688752582
F,2021-09-05 00:00:00,1.666455119
F,2021-09-06 00:00:00,1.776449616
F,2021-09-07 00:00:00,1.740258147
F,2021-09-08 00:00:00,1.72419363
F,2021-09-09 00:00:00,1.744399546
F,2021-09-10 00:00:00,1.716784784
F,2021-09-11 00:00:00,1.688570481
F,2021-09-12 00:00:00,1.743886975
F,2021-09-13 00:00:00,1.752359287
F,2021-09-14 00:00:00,1.729203297
F,2021-09-15 00:00:00,1.716647355
F,2021-09-16 00:00:00,1.723861774
F,2021-09-17 00:00:00,1.688722116
F,2021-09-18 00:00:00,1.690709434
F,2021-09-19 00:00:00,1.721542527
F,2021-09-20 00:00:00,1.726258157
F,2021-09-21 00:00:00,1.713441395
F,2021-09-22 00:00:00,1.69958475
F,2021-09-23 00:00:00,1.712358316
F,2021-09-24 00:00:00,1.69150298
F,2021-09-25 00:00:00,1.665847422
F,2021-09-26 00:00:00,1.697602658
F,2021-09-30 00:00:00,1.734042701
F,2021-10-01 00:00:00,1.731676162
F,2021-10-02 00:00:00,1.711517178
F,2021-10-03 00:00:00,1.746522846
F,2021-10-07 00:00:00,1.720201026
F,2021-10-08 00:00:00,1.634433795
F,2021-10-09 00:00:00,1.58589259
F,2021-10-10 00:00:00,1.697054897
F,2021-10-14 00:00:00,1.668744983
F,2021-10-15 00:00:00,1.565394095
F,2021-10-16 00:00:00,1.572506664
F,2021-10-17 00:00:00,1.613856253
F,2021-10-18 00:00:00,1.622999661
F,2021-10-22 00:00:00,3.036464702
F,2021-10-23 00:00:00,2.261538484
F,2021-10-24 00:00:00,19.35545932
F,2021-10-25 00:00:00,9.699610987
B1,2020-07-01 00:00:00,8.7553
B1,2020-07-02 00:00:00,8.7364
B1,2020-07-03 00:00:00,8.4136
B1,2020-07-04 00:00:00,8.3331
B1,2020-07-05 00:00:00,8.3696
B1,2020-07-06 00:00:00,8.5231
B1,2020-07-07 00:00:00,8.4457
B1,2020-07-08 00:00:00,8.4212
B1,2020-07-09 00:00:00,8.505
B1,2020-07-10 00:00:00,8.4735
B1,2020-07-11 00:00:00,8.2953
